user_id,kalori_target,kategori_lauk,sumber_karbo,deskripsi_preferensi,relevant_menus
1,395,ayam,nasi merah,rendah lemak panggang,"creamy chicken mushroom,chicken curry,ayam bakar padang,sempol ayam grill,sempol ayam grill"
2,400,ikan,kentang,tanpa santan bumbu pedas,"gulai ikan,dori katsu balado,dori sambal ijo,ikan woku,dori chips saus asam manis"
3,395,sapi,nasi putih,bumbu rempah korea yakiniku,"beef yakiniku,beef yakiniku,beef bulgogi,rawon surabaya,soto daging spesial"
4,400,ayam,jagung,pedas lada hitam balado,"chicken blackpepper,chicken blackpepper,chicken ball blackpepper,bola ayam saus asam pedas,chicken blackpepper egg tortila"
5,395,ikan,ubi,saus manis pedas korea,"dori saus mentega,fish katsu saus manis pedas,fish stick saus wijen,dori oat saus wijen,dori salted egg"
6,400,ayam,kentang,kuah soto tanpa santan,"soto ayam kuning,soto ayam spesial,soto ayam spesial,opor ayam tanpa santan,chicken curry"
7,390,sapi,jagung,tumis sayur pedas,"sapi cabe garam,beef yakiniku,bistik sapi,cah tahu sapi,buncis sapi lada hitam"
8,395,ikan,nasi merah,katsu renyah saus,"dori saus mentega,fish katsu saus manis pedas,fish stick saus korea,dori chips saus asam manis,dori katsu saus asam manis"
9,400,ayam,kentang,bumbu serundeng kelapa,"opor ayam tanpa santan,chicken curry,soto ayam kuning,ayam bumbu kari,ayam serundeng"
10,395,sapi,nasi putih,kuah soto bening,"soto bandung,soto bandung,soto bandung,soto bandung,soto betawi"
11,390,ayam,jagung,salad segar rendah lemak,"bola ayam crispy,chicken katsu,sempol ayam grill,chicken ball crispy,chicken patty crispy"
12,400,ikan,kentang,gulai bumbu kuning,"gulai ikan,ikan acar kuning,dori katsu balado,dori sambal ijo,ikan woku"
13,395,ayam,nasi merah,saus teriyaki korea,"ayam saus mentega,chicken karage saus korea,ayam saus mentega,chicken teriyaki grill,ayam suwir teriyaki"
14,400,sapi,jagung,bulgogi korea lada hitam,"brokoli sapi lada hitam,buncis sapi lada hitam,bola daging saus lada hitam,beef bulgogi,cah sapi buncis"
15,390,ikan,ubi,sambal matah segar,"dori sambal matah,chicken grill sambal matah,dori sambal matah,chicken grill sambal matah,dori salted egg"
