user_id,kalori_target,kategori_lauk,sumber_karbo,deskripsi_preferensi,relevant_menus
1,395,ayam,"nasi merah","rendah lemak panggang","chicken katsu,sempol ayam grill,chicken teriyaki grill,baked chicken honey,chicken bbq grill"
2,400,ikan,"kentang","tanpa santan bumbu pedas","gulai ikan,dori sambal ijo,dori katsu balado,ikan woku,ikan cabe ijo"
3,395,sapi,"nasi putih","bumbu rempah korea yakiniku","beef bulgogi,beef yakiniku,bistik sapi,soto bandung,beef tofu teriyaki"
4,400,ayam,"jagung","pedas lada hitam balado","chicken blackpepper,ayam balado,ayam cabe ijo,chicken ball blackpepper,bola ayam saus asam pedas"
5,395,ikan,"ubi","saus manis pedas korea","fish stick saus korea,dori oat saus asam manis,fish katsu saus manis pedas,dori chips saus asam manis,fish stick saus wijen"
6,400,ayam,"kentang","kuah soto tanpa santan","soto ayam kuning,soto ayam spesial,chicken tomyum,opor ayam tanpa santan"
7,390,sapi,"jagung","tumis sayur pedas","sapi cabe garam,cah sapi buncis,cah buncis sapi cincang,buncis sapi lada hitam,brokoli sapi lada hitam"
8,395,ikan,"nasi merah","katsu renyah saus","dori katsu,dori katsu balado,dori katsu saus asam manis,fish katsu saus manis pedas"
9,400,ayam,"kentang","bumbu serundeng kelapa","ayam serundeng,rendang ayam,ayam bakar padang,ayam maranggi"
10,395,sapi,"nasi putih","kuah soto bening","soto bandung,soto betawi tanpa santan,rawon surabaya"
11,390,ayam,"jagung","salad segar rendah lemak","bola ayam crispy,chicken ball crispy,chicken patty crispy,chicken katsu"
12,400,ikan,"kentang","gulai bumbu kuning","gulai ikan,ikan acar kuning,dori sambal ijo"
13,395,ayam,"nasi merah","saus teriyaki korea","chicken teriyaki grill,ayam suwir teriyaki,beef tofu teriyaki,chicken karage saus korea"
14,400,sapi,"jagung","bulgogi korea lada hitam","beef bulgogi,beef yakiniku,bola daging saus lada hitam,beef tofu teriyaki"
15,390,ikan,"ubi","sambal matah segar","dori sambal matah,chicken grill sambal matah"
