user_id,menu_name,relevance
1,chicken curry,1
1,ayam bakar padang,1
1,sempol ayam grill,1
1,creamy chicken mushroom,1
1,telur mata sapi balado special,0
1,chicken ball blackpepper,0
1,soto ayam spesial spesial,0
1,dori chips saus asam manis lengkap,0
1,fish stick saus wijen premium,0
1,soto betawi tanpa santan,0
1,opor susu legenda deluxe,0
1,dori stick premium,0
1,soto betawi ayam,0
1,bola ayam saus asam pedas box,0
1,prawn cake thailand sauce deluxe,0
1,with brown rice box,0
1,beef short ribs rendang special,0
1,beef patty kastu,0
1,ayam bakar bowl,0
1,dori katsu balado,0
1,pangsit ayam kuah premium,0
1,chicken truffle meatballs signature,0
1,pasta aglio eolio dori stick,0
1,ayam saus mentega diet,0
2,dori chips saus asam manis,1
2,dori sambal ijo,1
2,ikan woku,1
2,gulai ikan,1
2,dori katsu balado,1
2,rawon surabaya lengkap,0
2,chicken crispy saus barbeque lengkap,0
2,opor susu legenda yellowfit,0
2,dori oat saus wijen,0
2,dori sambal ijo box,0
2,tumis ayam brokoli,0
2,fish katsu saus manis pedas,0
2,khao soi noodle supreme,0
2,dori saus mentega diet,0
2,bola ayam sambal taichan,0
2,ikan sambal kecombrang chef s choice,0
2,dori sambal matah healthy,0
2,ayam bakar padang spesial,0
2,slow cooked beef signature,0
2,ayam bakar bacem lengkap,0
2,sei sapi with brown rice spesial,0
2,ayam suwir teriyaki,0
2,chicken tomyum healthy,0
2,dori salted egg,0
2,chicken teriyaki grill healthy,0
3,rawon surabaya,1
3,beef yakiniku,1
3,soto daging spesial,1
3,beef bulgogi,1
3,ayam betutu sambal matah,0
3,chicken ball crispy premium,0
3,chicken katsu premium,0
3,ayam serundeng,0
3,ayam saus wijen,0
3,rawon surabaya lengkap,0
3,chicken curry,0
3,ayam bakar bacem,0
3,dori oat saus asam manis diet,0
3,cah buncis sapi cincang,0
3,mac diet panas special deluxe,0
3,sei ayam with brown rice spesial,0
3,beef short ribs rendang special,0
3,sei ayam with potatoes premium,0
3,japanese beef teriyaki bread yellowfit,0
3,dori saus mentega diet,0
3,ayam asam manis healthy chef s choice,0
3,brokoli sapi lada hitam,0
3,chicken crispy saus barbeque,0
3,chicken truffle meatballs deluxe,0
4,chicken ball blackpepper,1
4,chicken blackpepper,1
4,bola ayam saus asam pedas,1
4,chicken blackpepper egg tortila,1
4,chicken blackpepper egg tortila box,0
4,pangsit ayam yamin yahun healthy,0
4,grilled chicken with lemonilo healthy,0
4,sei sapi with brown rice spesial,0
4,japanese beef teriyaki bread,0
4,chicken karage saus korea lengkap,0
4,soto bandung,0
4,khao soi noodle special,0
4,chicken soy garlic yangnyeom yellowfit,0
4,baked fish mozaru supreme,0
4,dori katsu saus asam manis healthy,0
4,pangsit ayam kuah,0
4,chicken teriyaki grill lengkap,0
4,chicken grill sambal matah lengkap,0
4,thai coconut curry baby corn deluxe,0
4,sapi cabe garam bowl,0
4,beef tofu teriyaki,0
4,dori katsu saus asam manis premium,0
4,sapi cabe garam box,0
4,sei ayam with lemonilo premium,0
5,dori salted egg,1
5,dori oat saus wijen,1
5,dori saus mentega,1
5,fish katsu saus manis pedas,1
5,fish stick saus wijen,1
5,soto ayam kuning box,0
5,thai coconut curry baby corn special,0
