user_id,menu_name,relevance,menu_id
1,creamy chicken mushroom,1,51
1,ayam bakar padang,1,80
1,ayam bakar padang,1,122
1,sempol ayam grill,1,2
1,sempol ayam grill,1,116
1,chicken curry,1,9
1,dori popcorn,0,18
1,mac diet panas special special,0,405
1,dori katsu saus asam manis premium,0,155
1,dori salted egg diet,0,253
1,ayam maranggi box,0,265
1,sei sapi with potatoes diet,0,158
1,sei sapi with potatoes diet,0,296
1,chicken bbq grill,0,58
1,chicken rolade healthy,0,214
1,ikan cabe ijo,0,121
1,beef tofu teriyaki lengkap,0,242
1,cah sapi buncis,0,27
1,beef yakiniku,0,4
1,beef yakiniku,0,97
1,opor ayam tanpa santan lengkap,0,162
1,opor ayam tanpa santan lengkap,0,283
1,with brown rice with potate wedges healthy,0,138
1,baked chicken honey,0,67
1,baked chicken honey,0,104
1,bistik sapi,0,62
1,thai coconut curry baby corn chef s choice,0,316
1,chicken soy garlic yangnyeom,0,334
1,chicken blackpepper egg tortila lengkap,0,175
1,khao soi noodle supreme,0,309
1,khao soi noodle supreme,0,383
1,khao soi noodle supreme,0,414
1,khao soi noodle supreme,0,431
2,ikan woku,1,105
2,gulai ikan,1,113
2,dori chips saus asam manis,1,129
2,dori katsu balado,1,23
2,dori sambal ijo,1,37
2,dori sambal ijo,1,55
2,sempol ayam grill bowl,0,239
2,sempol ayam grill bowl,0,285
2,rawon surabaya lengkap,0,179
2,rawon surabaya lengkap,0,206
2,rawon surabaya lengkap,0,282
2,baked fish mozaru special,0,407
2,ayam maranggi,0,33
2,ayam maranggi,0,71
2,ayam maranggi,0,81
2,grilled chicken with lemonilo healthy,0,137
2,grilled chicken with lemonilo healthy,0,277
2,dori chips saus asam manis lengkap,0,152
2,sei sapi box,0,136
2,tumis ayam brokoli,0,118
2,mac diet panas special yellowfit,0,325
2,kebab ayam,0,106
2,torikatsu chicken ramen special,0,326
2,torikatsu chicken ramen special,0,352
2,torikatsu chicken ramen special,0,434
2,fish stick saus korea,0,30
2,recharge with se l sapi lengkap,0,154
2,pasta aglio eolio dori stick diet,0,161
2,pasta aglio eolio dori stick diet,0,288
2,nasi uduk saus kacang supreme,0,436
2,sempol ayam grill,0,2
2,sempol ayam grill,0,116
2,with brown rice with potate wedges healthy,0,138
2,rolade ayam,0,21
2,cah tahu sapi,0,14
2,soto ayam spesial spesial,0,144
2,soto ayam spesial spesial,0,295
3,soto daging spesial,1,19
3,rawon surabaya,1,5
3,rawon surabaya,1,123
3,beef bulgogi,1,92
3,beef bulgogi,1,131
3,beef yakiniku,1,4
3,beef yakiniku,1,97
3,dori saus mentega,0,8
3,sei sapi with potatoes diet,0,158
3,sei sapi with potatoes diet,0,296
3,dori oat saus asam manis,0,79
3,brown rice ce apple tea saldo gopay diet,0,149
3,pangsit ayam yamin yahun healthy,0,183
3,ayam goreng kunyit yellowfit,0,308
3,dori salted egg,0,54
3,sapi cabe garam box,0,164
3,sapi cabe garam box,0,257
3,beef patty kastu,0,72
3,fish stick saus korea,0,30
3,fish stick saus wijen,0,84
3,chicken crispy saus barbeque,0,32
3,nasi uduk saus kacang supreme,0,436
3,dori katsu balado spesial,0,178
3,mie ayam sehat spesial,0,110
3,chicken egg okonomiyaki supreme,0,377
3,chicken egg okonomiyaki supreme,0,387
3,cah ayam jamur,0,11
3,bakwan sayur healthy,0,372
3,bakwan sayur healthy,0,422
3,dori katsu saus asam manis premium,0,155
3,beef short ribs rendang yellowfit,0,374
3,beef short ribs rendang yellowfit,0,376
4,chicken blackpepper,1,17
4,chicken blackpepper,1,107
4,chicken ball blackpepper,1,70
4,chicken blackpepper egg tortila,1,130
4,bola ayam saus asam pedas,1,34
4,ayam bumbu kari,0,77
4,opor ayam tanpa santan,0,103
4,beef yakiniku,0,4
4,beef yakiniku,0,97
4,sempol ayam grill,0,2
4,sempol ayam grill,0,116
4,chicken blackpepper healthy,0,180
4,chicken blackpepper healthy,0,263
4,pangsit ayam yamin yahun healthy,0,183
4,ayam goreng kunyit deluxe,0,439
4,rolade ayam,0,21
4,with brown rice box,0,140
4,with brown rice box,0,255
4,dori katsu balado,0,23
4,ayam serundeng healthy,0,249
4,ayam serundeng healthy,0,272
4,chicken grill sambal matah,0,22
4,chicken grill sambal matah,0,74
4,sempol ayam grill bowl,0,239
4,sempol ayam grill bowl,0,285
4,thai coconut curry baby corn,0,351
4,thai coconut curry baby corn,0,402
4,thai coconut curry baby corn,0,417
4,rawon surabaya sapi ayam,0,69
4,cheese buldak chicken yellowfit,0,445
4,chicken curry,0,9
4,cah ayam buncis,0,98
4,dori katsu balado spesial,0,178
4,ayam asam manis healthy chef s choice,0,365
4,ayam asam manis healthy chef s choice,0,394
5,dori oat saus wijen,1,120
5,fish stick saus wijen,1,84
5,dori salted egg,1,54
5,dori saus mentega,1,8
5,fish katsu saus manis pedas,1,99
5,spaghetti ayam geprek special,0,329
5,spaghetti ayam geprek special,0,408
5,cah sapi buncis,0,27
5,pangsit ayam yamin yahun healthy,0,183
5,dori katsu balado premium,0,211
5,dori katsu balado premium,0,286
5,indonesian beef bakso yellowfit,0,356
5,chicken potatoes bowl,0,135
5,bakwan sayur healthy,0,372
5,bakwan sayur healthy,0,422
5,ayam cabe ijo lengkap,0,228
5,recharge with se l sapi lengkap,0,154
5,dori oat saus wijen premium,0,146
5,dori oat saus wijen premium,0,279
5,indonesian beef bakso signature,0,346
5,indonesian beef bakso signature,0,418
5,indonesian beef bakso signature,0,441
5,indonesian beef bakso signature,0,449
5,rawon surabaya sapi ayam premium,0,145
5,healthy japanese sushi roll,0,302
5,healthy japanese sushi roll,0,341
5,healthy japanese sushi roll,0,390
5,healthy japanese sushi roll,0,404
5,ayam maranggi bowl,0,156
5,tumis ayam paprika box,0,233
5,dori katsu saus asam manis healthy,0,264
5,mac diet panas special chef s choice,0,336
5,tahu bakso kuah,0,24
5,cah tahu sapi,0,14
5,ayam suwir teriyaki,0,75
6,opor ayam tanpa santan,1,103
6,soto ayam spesial,1,3
6,soto ayam spesial,1,61
6,soto ayam kuning,1,119
6,chicken curry,1,9
6,fish stick saus korea diet,0,251
6,ayam serundeng healthy,0,249
6,ayam serundeng healthy,0,272
6,chicken egg okonomiyaki special,0,370
6,chicken egg okonomiyaki special,0,391
6,sei ayam with potatoes premium,0,182
6,sei ayam with potatoes premium,0,299
6,pangsit ayam yamin yahun,0,50
6,dori oat saus wijen,0,120
6,dori sambal ijo box,0,230
6,dori sambal ijo box,0,270
6,ayam saus mentega,0,28
6,ayam saus mentega,0,48
6,chicken rolade healthy,0,214
6,baked fish mozaru chef s choice,0,345
6,baked fish mozaru chef s choice,0,357
6,salmon red thai curry yellowfit,0,304
6,salmon red thai curry yellowfit,0,368
6,beef tofu teriyaki,0,78
6,opor susu legenda yellowfit,0,379
6,chicken katsu premium,0,208
6,ayam saus wijen premium,0,227
6,cah sapi buncis,0,27
